model_type,sequence_number,pnl
1,342,0.01600423904892523
0,342,0.009142211303696968
1,343,0.01837137654365506
0,343,0.009217605809681118
1,772,0.009256481513148174
0,772,0.0007220395491458476
1,777,0.006205126555869356
0,777,-0.002866684037144296
1,822,0.006910037773195654
0,822,-0.00225346494698897
1,824,0.006911019183462486
0,824,-0.002244322546175681
1,980,-0.012192782203783281
0,980,-0.014669721989776008
1,1055,-0.00229241001943592
0,1055,-0.009721458816784434
1,1071,-0.045452632184606045
0,1071,-0.030592196082579903
1,1230,-0.1143822009471478
0,1230,-0.08059507633151952
1,1322,-0.10333449793688487
0,1322,-0.07206737376691308
1,1330,-0.10550734722346533
1,1348,-0.0990913580317283
0,1348,-0.05988447993877344
1,1354,-0.09821882340474986
0,1354,-0.058574168404447846
1,1367,-0.09152750494831707
0,1367,-0.05169557422050275
1,1408,-0.08981033021700568
0,1408,-0.05083488079253584
1,1418,-0.0884410107973963
0,1418,-0.0501542401034385
1,1475,-0.07778153610706795
0,1475,-0.04532173786719795
1,1584,-0.09045206238806713
0,1584,-0.05449621308071073
1,1651,-0.11540441321267281
0,1651,-0.07903611710935365
1,1660,-0.11714968430169392
0,1660,-0.0807071603339864
1,1758,-0.47472923780151177
0,1758,-0.2996729857841274
1,1823,-0.4112411499809241
0,1823,-0.26784661726560444
1,1832,-0.4230898610694567
1,1866,-0.42782584768428933
0,1866,-0.27636977955990005
1,1995,-0.40297304032719694
0,1995,-0.2635424128966406
1,2081,-0.36190012386941817
0,2081,-0.24262986196845304
1,2171,-0.4023871985555161
0,2171,-0.28172999204252847
1,2187,-0.3992501459288178
0,2187,-0.2803233796439599
1,2467,-0.4251083782874048
0,2467,-0.3061109098489396
1,2504,-0.4199918101367075
0,2504,-0.30333565996261314
1,2549,-0.4194716568599688
0,2549,-0.303083716033143
1,2680,-0.46415975110721774
0,2680,-0.3286385219107615
1,2734,-0.5554634804575471
0,2734,-0.39331755858438555
1,2824,-0.5488365068740677
0,2824,-0.38998641351645347
1,2828,-0.5486618225986604
0,2828,-0.3899285775987664
1,2982,-0.542352198579465
0,2982,-0.38361887984501664
1,3325,-0.968938298014109
0,3325,-0.6332292094448349
1,3333,-1.4338007196201943
0,3333,-0.9262536352325696
1,3345,-1.1730956785468152
0,3345,-0.7647281948156888
1,3589,-1.4228912830440095
0,3589,-0.9691151497681858
1,3952,-1.4273233416170115
0,3952,-0.9750326381908963
1,3954,-1.4274563311191741
0,3954,-0.9751185373752378
1,3955,-1.4273409584420733
0,3955,-0.9750523014517967
1,3965,-1.4274539350735722
0,3965,-0.9751163537002867
1,3976,-1.427371762067196
0,3976,-0.9750642548606265
1,3985,-1.4273720805358607
0,3985,-0.9750644475279842
1,4219,-1.492141402544803
0,4219,-1.0398283183458261
1,4222,-1.4869792249373859
0,4222,-1.0346267894783523
1,4427,-1.4962171298247995
0,4427,-1.0439373894623714
1,4439,-1.4838186629785923
0,4439,-1.0314375997550087
1,4565,-1.490917207163875
0,4565,-1.038491358194733
1,4571,-1.4909989742736798
0,4581,-1.0359824255574495
1,4755,-1.4972725692932727
0,4755,-1.0422560205770424
1,4771,-1.494371931636124
0,4771,-1.039355383021757
1,4810,-1.5035438448248897
1,4816,-1.5037057081935927
0,4850,-1.0473439866036642
1,4944,-1.5767251909564948
0,4944,-1.1469913163746241
1,4947,-1.5533204257953912
0,4947,-1.1241217730857898
1,5048,-1.5767755472188583
0,5048,-1.1458967159851454
1,5049,-1.5550078724045306
0,5049,-1.1273784943623468
1,5161,-1.559513658474316
0,5161,-1.1296351214696188
1,5162,-1.5595109738060273
0,5162,-1.1296310435427586
1,5166,-1.5595074281445704
0,5166,-1.1296329337055795
1,5168,-1.559524000287638
0,5168,-1.1296392385556828
1,5170,-1.5595423656486673
0,5170,-1.1296453667309834
1,5171,-1.5613638511131285
0,5171,-1.130093745799968
1,5177,-1.5597561154863797
0,5177,-1.1298329214187106
1,5178,-1.5597698128403863
0,5178,-1.129834527571802
1,5181,-1.559437783973408
0,5181,-1.1298125105240615
1,5203,-1.5626080760121113
0,5203,-1.1329104123287834
1,5204,-1.5626078625646187
0,5204,-1.1329122116148937
1,5228,-1.5665919275779743
0,5228,-1.1369077295676107
1,5235,-1.5692255822359584
0,5235,-1.1385191765875788
1,5238,-1.570951244488242
0,5238,-1.1393649062229088
1,5243,-1.5722149612847716
0,5243,-1.1399592474772362
1,5247,-1.5721818181773415
0,5247,-1.1399551914655603
1,5321,-1.5776303819438908
0,5321,-1.1454037552321097
1,5444,-1.5813089006696828
0,5444,-1.1490822739579016
1,5923,-1.5844813507719664
0,5923,-1.1514980634092353
1,5988,-1.591296017766581
0,5988,-1.1574290159333032
1,6128,-1.7874988584662788
0,6128,-1.3454022850928595
1,6145,-1.8829846842418192
0,6145,-1.4382775314879837
1,6155,-1.8730028775462415
0,6155,-1.4285742482170463
1,6173,-1.8728328973229509
0,6173,-1.4284279505664017
1,6209,-1.88562225367059
0,6209,-1.4411226580559742
1,6212,-1.8861997497588163
0,6212,-1.440821091120597
1,6219,-1.8844347336416831
0,6219,-1.439994641681551
1,6518,-1.8793626970727928
0,6518,-1.4374248808599077
1,6622,-1.9209634401195217
0,6622,-1.4669151723646792
1,6936,-1.9618567836587317
0,6936,-1.5077673404739471
